adduser	passwd	Depends	primary	direct
adduser	liblocale-gettext-perl	Suggests	primary	direct
adduser	perl	Suggests	primary	unresolved
adduser	cron	Suggests	primary	direct
adduser	quota	Suggests	primary	unresolved
apt	base-passwd	Depends	primary	direct
apt	adduser	Depends	alt	direct
apt	sqv	Depends	primary	direct
apt	libapt-pkg7.0	Depends	primary	direct
apt	debian-archive-keyring	Depends	primary	direct
apt	libc6	Depends	primary	direct
apt	libgcc-s1	Depends	primary	direct
apt	libseccomp2	Depends	primary	direct
apt	libssl3t64	Depends	primary	direct
apt	libstdc++6	Depends	primary	direct
apt	libsystemd0	Depends	primary	direct
apt	ca-certificates	Recommends	primary	unresolved
apt	apt-doc	Suggests	primary	unresolved
apt	aptitude	Suggests	primary	unresolved
apt	synaptic	Suggests	alt	unresolved
apt	wajig	Suggests	alt	unresolved
apt	dpkg-dev	Suggests	primary	unresolved
apt	gnupg	Suggests	primary	unresolved
apt	gnupg2	Suggests	alt	unresolved
apt	gnupg1	Suggests	alt	unresolved
apt	powermgmt-base	Suggests	primary	unresolved
apt-utils	apt	Depends	primary	direct
apt-utils	libapt-pkg7.0	Depends	primary	direct
apt-utils	libc6	Depends	primary	direct
apt-utils	libdb5.3t64	Depends	primary	direct
apt-utils	libgcc-s1	Depends	primary	direct
apt-utils	libstdc++6	Depends	primary	direct
base-files	mawk	Pre-Depends	primary	via-provides
base-passwd	libc6	Depends	primary	direct
base-passwd	libdebconfclient0	Depends	primary	direct
base-passwd	libselinux1	Depends	primary	direct
base-passwd	debconf	Recommends	primary	direct
base-passwd	debconf	Recommends	alt	via-provides
bash	base-files	Depends	primary	direct
bash	debianutils	Depends	primary	direct
bash	libc6	Pre-Depends	primary	direct
bash	libtinfo6	Pre-Depends	primary	direct
bash	bash-completion	Recommends	primary	unresolved
bash	bash-doc	Suggests	primary	unresolved
bsdutils	libc6	Pre-Depends	primary	direct
bsdutils	libsystemd0	Pre-Depends	primary	direct
bsdutils	bsdextrautils	Recommends	primary	unresolved
coreutils	libacl1	Pre-Depends	primary	direct
coreutils	libattr1	Pre-Depends	primary	direct
coreutils	libc6	Pre-Depends	primary	direct
coreutils	libcap2	Pre-Depends	primary	direct
coreutils	libgmp10	Pre-Depends	primary	direct
coreutils	libselinux1	Pre-Depends	primary	direct
coreutils	libssl3t64	Pre-Depends	primary	direct
coreutils	libsystemd0	Pre-Depends	primary	direct
cpio	libc6	Depends	primary	direct
cpio	libarchive-dev	Suggests	primary	unresolved
cron	libc6	Depends	primary	direct
cron	libpam0g	Depends	primary	direct
cron	libselinux1	Depends	primary	direct
cron	sensible-utils	Depends	primary	direct
cron	libpam-runtime	Depends	primary	direct
cron	init-system-helpers	Pre-Depends	primary	direct
cron	cron-daemon-common	Pre-Depends	primary	direct
cron	default-mta	Recommends	primary	unresolved
cron	mail-transport-agent	Recommends	alt	unresolved
cron	anacron	Suggests	primary	unresolved
cron	logrotate	Suggests	primary	direct
cron	checksecurity	Suggests	primary	unresolved
cron	supercat	Suggests	primary	unresolved
cron	bat	Suggests	primary	unresolved
cron-daemon-common	systemd	Depends	primary	direct
cron-daemon-common	systemd-standalone-sysusers	Depends	alt	unresolved
cron-daemon-common	systemd	Depends	alt	via-provides
cron-daemon-common	adduser	Depends	primary	direct
dash	debianutils	Depends	primary	direct
dash	libc6	Pre-Depends	primary	direct
debconf	apt	Recommends	primary	direct
debconf	apt-utils	Recommends	alt	direct
debconf	debconf-i18n	Recommends	primary	direct
debconf	debconf-doc	Suggests	primary	unresolved
debconf	debconf-kde-helper	Suggests	primary	unresolved
debconf	debconf-utils	Suggests	primary	unresolved
debconf	libgtk3-perl	Suggests	primary	unresolved
debconf	libnet-ldap-perl	Suggests	primary	unresolved
debconf	libterm-readline-gnu-perl	Suggests	primary	unresolved
debconf	perl	Suggests	primary	unresolved
debconf	whiptail	Suggests	primary	direct
debconf	dialog	Suggests	alt	unresolved
debconf-i18n	debconf	Depends	primary	direct
debconf-i18n	liblocale-gettext-perl	Depends	primary	direct
debconf-i18n	libtext-charwidth-perl	Depends	primary	direct
debconf-i18n	libtext-iconv-perl	Depends	primary	direct
debconf-i18n	libtext-wrapi18n-perl	Depends	primary	direct
debianutils	libc6	Pre-Depends	primary	direct
dhcpcd-base	adduser	Depends	primary	direct
dhcpcd-base	libc6	Depends	primary	direct
dhcpcd-base	libssl3t64	Depends	primary	direct
dhcpcd-base	libudev1	Depends	primary	direct
dhcpcd-base	openresolv	Suggests	primary	unresolved
dhcpcd-base	resolvconf	Suggests	alt	unresolved
dhcpcd-base	systemd-resolved	Suggests	alt	unresolved
diffutils	libc6	Pre-Depends	primary	direct
diffutils	diffutils-doc	Suggests	primary	unresolved
diffutils	wdiff	Suggests	primary	unresolved
dmidecode	libc6	Depends	primary	direct
dpkg	tar	Depends	primary	direct
dpkg	libbz2-1.0	Pre-Depends	primary	direct
dpkg	libc6	Pre-Depends	primary	direct
dpkg	liblzma5	Pre-Depends	primary	direct
dpkg	libmd0	Pre-Depends	primary	direct
dpkg	libselinux1	Pre-Depends	primary	direct
dpkg	libzstd1	Pre-Depends	primary	direct
dpkg	zlib1g	Pre-Depends	primary	direct
dpkg	apt	Suggests	primary	direct
dpkg	debsig-verify	Suggests	primary	unresolved
e2fsprogs	logsave	Depends	primary	direct
e2fsprogs	libblkid1	Pre-Depends	primary	direct
e2fsprogs	libc6	Pre-Depends	primary	direct
e2fsprogs	libcom-err2	Pre-Depends	primary	direct
e2fsprogs	libext2fs2t64	Pre-Depends	primary	direct
e2fsprogs	libss2	Pre-Depends	primary	direct
e2fsprogs	libuuid1	Pre-Depends	primary	direct
e2fsprogs	e2fsprogs-l10n	Recommends	primary	unresolved
e2fsprogs	gpart	Suggests	primary	unresolved
e2fsprogs	parted	Suggests	primary	unresolved
e2fsprogs	fuse2fs	Suggests	primary	unresolved
e2fsprogs	e2fsck-static	Suggests	primary	unresolved
e2fsprogs	libarchive13t64	Suggests	primary	unresolved
fdisk	libc6	Depends	primary	direct
fdisk	libfdisk1	Depends	primary	direct
fdisk	libmount1	Depends	primary	direct
fdisk	libncursesw6	Depends	primary	direct
fdisk	libreadline8t64	Depends	primary	direct
fdisk	libsmartcols1	Depends	primary	direct
fdisk	libtinfo6	Depends	primary	direct
fdisk	sensible-utils	Recommends	primary	direct
findutils	libc6	Pre-Depends	primary	direct
findutils	libselinux1	Pre-Depends	primary	direct
grep	libc6	Pre-Depends	primary	direct
grep	libpcre2-8-0	Pre-Depends	primary	direct
gzip	libc6	Pre-Depends	primary	direct
gzip	less	Suggests	primary	direct
hostname	libc6	Pre-Depends	primary	direct
ifupdown	libc6	Depends	primary	direct
ifupdown	adduser	Depends	primary	direct
ifupdown	iproute2	Depends	primary	direct
ifupdown	dhcpcd-base	Recommends	primary	direct
ifupdown	dhcpcd-base	Recommends	alt	via-provides
ifupdown	ppp	Suggests	primary	unresolved
ifupdown	rdnssd	Suggests	primary	unresolved
init	systemd-sysv	Pre-Depends	primary	direct
init	sysvinit-core	Pre-Depends	alt	unresolved
iproute2	debconf	Depends	primary	direct
iproute2	debconf	Depends	alt	via-provides
iproute2	libbpf1	Depends	primary	direct
iproute2	libc6	Depends	primary	direct
iproute2	libcap2	Depends	primary	direct
iproute2	libdb5.3t64	Depends	primary	direct
iproute2	libelf1t64	Depends	primary	direct
iproute2	libmnl0	Depends	primary	direct
iproute2	libselinux1	Depends	primary	direct
iproute2	libtirpc3t64	Depends	primary	direct
iproute2	libxtables12	Depends	primary	direct
iproute2	libcap2-bin	Depends	primary	direct
iproute2	python3:any	Suggests	primary	unresolved
iputils-ping	libc6	Depends	primary	direct
iputils-ping	libcap2	Depends	primary	direct
iputils-ping	libidn2-0	Depends	primary	direct
iputils-ping	linux-sysctl-defaults	Recommends	primary	direct
kmod	libc6	Depends	primary	direct
kmod	libssl3t64	Depends	primary	direct
kmod	libkmod2	Depends	primary	direct
less	libc6	Depends	primary	direct
less	libtinfo6	Depends	primary	direct
libacl1	libc6	Depends	primary	direct
libapparmor1	libc6	Depends	primary	direct
libapt-pkg7.0	libbz2-1.0	Depends	primary	direct
libapt-pkg7.0	libc6	Depends	primary	direct
libapt-pkg7.0	libgcc-s1	Depends	primary	direct
libapt-pkg7.0	liblz4-1	Depends	primary	direct
libapt-pkg7.0	liblzma5	Depends	primary	direct
libapt-pkg7.0	libssl3t64	Depends	primary	direct
libapt-pkg7.0	libstdc++6	Depends	primary	direct
libapt-pkg7.0	libsystemd0	Depends	primary	direct
libapt-pkg7.0	libudev1	Depends	primary	direct
libapt-pkg7.0	libxxhash0	Depends	primary	direct
libapt-pkg7.0	libzstd1	Depends	primary	direct
libapt-pkg7.0	zlib1g	Depends	primary	direct
libapt-pkg7.0	apt	Recommends	primary	direct
libattr1	libc6	Depends	primary	direct
libaudit1	libaudit-common	Depends	primary	direct
libaudit1	libc6	Depends	primary	direct
libaudit1	libcap-ng0	Depends	primary	direct
libblkid1	libc6	Depends	primary	direct
libbpf1	libc6	Depends	primary	direct
