adduser	passwd	Depends	primary
adduser	liblocale-gettext-perl	Suggests	primary
adduser	perl	Suggests	primary
adduser	cron	Suggests	primary
adduser	quota	Suggests	primary
apt	base-passwd	Depends	primary
apt	adduser	Depends	alt
apt	sqv	Depends	primary
apt	libapt-pkg7.0	Depends	primary
apt	debian-archive-keyring	Depends	primary
apt	libc6	Depends	primary
apt	libgcc-s1	Depends	primary
apt	libseccomp2	Depends	primary
apt	libssl3t64	Depends	primary
apt	libstdc++6	Depends	primary
apt	libsystemd0	Depends	primary
apt	ca-certificates	Recommends	primary
apt	apt-doc	Suggests	primary
apt	aptitude	Suggests	primary
apt	synaptic	Suggests	alt
apt	wajig	Suggests	alt
apt	dpkg-dev	Suggests	primary
apt	gnupg	Suggests	primary
apt	gnupg2	Suggests	alt
apt	gnupg1	Suggests	alt
apt	powermgmt-base	Suggests	primary
apt-utils	apt	Depends	primary
apt-utils	libapt-pkg7.0	Depends	primary
apt-utils	libc6	Depends	primary
apt-utils	libdb5.3t64	Depends	primary
apt-utils	libgcc-s1	Depends	primary
apt-utils	libstdc++6	Depends	primary
base-files	awk	Pre-Depends	primary
base-passwd	libc6	Depends	primary
base-passwd	libdebconfclient0	Depends	primary
base-passwd	libselinux1	Depends	primary
base-passwd	debconf	Recommends	primary
base-passwd	debconf-2.0	Recommends	alt
bash	base-files	Depends	primary
bash	debianutils	Depends	primary
bash	libc6	Pre-Depends	primary
bash	libtinfo6	Pre-Depends	primary
bash	bash-completion	Recommends	primary
bash	bash-doc	Suggests	primary
bsdutils	libc6	Pre-Depends	primary
bsdutils	libsystemd0	Pre-Depends	primary
bsdutils	bsdextrautils	Recommends	primary
coreutils	libacl1	Pre-Depends	primary
coreutils	libattr1	Pre-Depends	primary
coreutils	libc6	Pre-Depends	primary
coreutils	libcap2	Pre-Depends	primary
coreutils	libgmp10	Pre-Depends	primary
coreutils	libselinux1	Pre-Depends	primary
coreutils	libssl3t64	Pre-Depends	primary
coreutils	libsystemd0	Pre-Depends	primary
cpio	libc6	Depends	primary
cpio	libarchive-dev	Suggests	primary
cron	libc6	Depends	primary
cron	libpam0g	Depends	primary
cron	libselinux1	Depends	primary
cron	sensible-utils	Depends	primary
cron	libpam-runtime	Depends	primary
cron	init-system-helpers	Pre-Depends	primary
cron	cron-daemon-common	Pre-Depends	primary
cron	default-mta	Recommends	primary
cron	mail-transport-agent	Recommends	alt
cron	anacron	Suggests	primary
cron	logrotate	Suggests	primary
cron	checksecurity	Suggests	primary
cron	supercat	Suggests	primary
cron	bat	Suggests	primary
cron-daemon-common	systemd	Depends	primary
cron-daemon-common	systemd-standalone-sysusers	Depends	alt
cron-daemon-common	systemd-sysusers	Depends	alt
cron-daemon-common	adduser	Depends	primary
dash	debianutils	Depends	primary
dash	libc6	Pre-Depends	primary
debconf	apt	Recommends	primary
debconf	apt-utils	Recommends	alt
debconf	debconf-i18n	Recommends	primary
debconf	debconf-doc	Suggests	primary
debconf	debconf-kde-helper	Suggests	primary
debconf	debconf-utils	Suggests	primary
debconf	libgtk3-perl	Suggests	primary
debconf	libnet-ldap-perl	Suggests	primary
debconf	libterm-readline-gnu-perl	Suggests	primary
debconf	perl	Suggests	primary
debconf	whiptail	Suggests	primary
debconf	dialog	Suggests	alt
debconf-i18n	debconf	Depends	primary
debconf-i18n	liblocale-gettext-perl	Depends	primary
debconf-i18n	libtext-charwidth-perl	Depends	primary
debconf-i18n	libtext-iconv-perl	Depends	primary
debconf-i18n	libtext-wrapi18n-perl	Depends	primary
debianutils	libc6	Pre-Depends	primary
dhcpcd-base	adduser	Depends	primary
dhcpcd-base	libc6	Depends	primary
dhcpcd-base	libssl3t64	Depends	primary
dhcpcd-base	libudev1	Depends	primary
dhcpcd-base	openresolv	Suggests	primary
dhcpcd-base	resolvconf	Suggests	alt
dhcpcd-base	systemd-resolved	Suggests	alt
diffutils	libc6	Pre-Depends	primary
diffutils	diffutils-doc	Suggests	primary
diffutils	wdiff	Suggests	primary
dmidecode	libc6	Depends	primary
dpkg	tar	Depends	primary
dpkg	libbz2-1.0	Pre-Depends	primary
dpkg	libc6	Pre-Depends	primary
dpkg	liblzma5	Pre-Depends	primary
dpkg	libmd0	Pre-Depends	primary
dpkg	libselinux1	Pre-Depends	primary
dpkg	libzstd1	Pre-Depends	primary
dpkg	zlib1g	Pre-Depends	primary
dpkg	apt	Suggests	primary
dpkg	debsig-verify	Suggests	primary
e2fsprogs	logsave	Depends	primary
e2fsprogs	libblkid1	Pre-Depends	primary
e2fsprogs	libc6	Pre-Depends	primary
e2fsprogs	libcom-err2	Pre-Depends	primary
e2fsprogs	libext2fs2t64	Pre-Depends	primary
e2fsprogs	libss2	Pre-Depends	primary
e2fsprogs	libuuid1	Pre-Depends	primary
e2fsprogs	e2fsprogs-l10n	Recommends	primary
e2fsprogs	gpart	Suggests	primary
e2fsprogs	parted	Suggests	primary
e2fsprogs	fuse2fs	Suggests	primary
e2fsprogs	e2fsck-static	Suggests	primary
e2fsprogs	libarchive13t64	Suggests	primary
fdisk	libc6	Depends	primary
fdisk	libfdisk1	Depends	primary
fdisk	libmount1	Depends	primary
fdisk	libncursesw6	Depends	primary
fdisk	libreadline8t64	Depends	primary
fdisk	libsmartcols1	Depends	primary
fdisk	libtinfo6	Depends	primary
fdisk	sensible-utils	Recommends	primary
findutils	libc6	Pre-Depends	primary
findutils	libselinux1	Pre-Depends	primary
grep	libc6	Pre-Depends	primary
grep	libpcre2-8-0	Pre-Depends	primary
gzip	libc6	Pre-Depends	primary
gzip	less	Suggests	primary
hostname	libc6	Pre-Depends	primary
ifupdown	libc6	Depends	primary
ifupdown	adduser	Depends	primary
ifupdown	iproute2	Depends	primary
ifupdown	dhcpcd-base	Recommends	primary
ifupdown	dhcp-client	Recommends	alt
ifupdown	ppp	Suggests	primary
ifupdown	rdnssd	Suggests	primary
init	systemd-sysv	Pre-Depends	primary
init	sysvinit-core	Pre-Depends	alt
iproute2	debconf	Depends	primary
iproute2	debconf-2.0	Depends	alt
iproute2	libbpf1	Depends	primary
iproute2	libc6	Depends	primary
iproute2	libcap2	Depends	primary
iproute2	libdb5.3t64	Depends	primary
iproute2	libelf1t64	Depends	primary
iproute2	libmnl0	Depends	primary
iproute2	libselinux1	Depends	primary
iproute2	libtirpc3t64	Depends	primary
iproute2	libxtables12	Depends	primary
iproute2	libcap2-bin	Depends	primary
iproute2	python3:any	Suggests	primary
iputils-ping	libc6	Depends	primary
iputils-ping	libcap2	Depends	primary
iputils-ping	libidn2-0	Depends	primary
iputils-ping	linux-sysctl-defaults	Recommends	primary
kmod	libc6	Depends	primary
kmod	libssl3t64	Depends	primary
kmod	libkmod2	Depends	primary
less	libc6	Depends	primary
less	libtinfo6	Depends	primary
libacl1	libc6	Depends	primary
libapparmor1	libc6	Depends	primary
libapt-pkg7.0	libbz2-1.0	Depends	primary
libapt-pkg7.0	libc6	Depends	primary
libapt-pkg7.0	libgcc-s1	Depends	primary
libapt-pkg7.0	liblz4-1	Depends	primary
libapt-pkg7.0	liblzma5	Depends	primary
libapt-pkg7.0	libssl3t64	Depends	primary
libapt-pkg7.0	libstdc++6	Depends	primary
libapt-pkg7.0	libsystemd0	Depends	primary
libapt-pkg7.0	libudev1	Depends	primary
libapt-pkg7.0	libxxhash0	Depends	primary
libapt-pkg7.0	libzstd1	Depends	primary
libapt-pkg7.0	zlib1g	Depends	primary
libapt-pkg7.0	apt	Recommends	primary
libattr1	libc6	Depends	primary
libaudit1	libaudit-common	Depends	primary
libaudit1	libc6	Depends	primary
libaudit1	libcap-ng0	Depends	primary
libblkid1	libc6	Depends	primary
libbpf1	libc6	Depends	primary
libbpf1	libelf1t64	Depends	primary
libbpf1	zlib1g	Depends	primary
libbsd0	libc6	Depends	primary
libbsd0	libmd0	Depends	primary
libbz2-1.0	libc6	Depends	primary
libc-bin	libc6	Depends	primary
libc-bin	libc6	Depends	primary
libc-bin	manpages	Recommends	primary
libc6	libgcc-s1	Depends	primary
libc6	libidn2-0	Recommends	primary
libc6	glibc-doc	Suggests	primary
