base-files	debian-substrate	manual (categories/01-debian-substrate.txt)
base-passwd	debian-substrate	manual (categories/01-debian-substrate.txt)
debianutils	debian-substrate	manual (categories/01-debian-substrate.txt)
hostname	debian-substrate	manual (categories/01-debian-substrate.txt)
tzdata	debian-substrate	manual (categories/01-debian-substrate.txt)
apt	package-management	manual (categories/02-package-management.txt)
apt-utils	package-management	manual (categories/02-package-management.txt)
debconf	package-management	manual (categories/02-package-management.txt)
debconf-i18n	package-management	manual (categories/02-package-management.txt)
debian-archive-keyring	package-management	manual (categories/02-package-management.txt)
dpkg	package-management	manual (categories/02-package-management.txt)
libapt-pkg7.0	package-management	manual (categories/02-package-management.txt)
libdebconfclient0	package-management	manual (categories/02-package-management.txt)
sqv	package-management	manual (categories/02-package-management.txt)
gcc-14-base	executable-runtime	manual (categories/03-executable-runtime.txt)
libc6	executable-runtime	manual (categories/03-executable-runtime.txt)
libc-bin	executable-runtime	manual (categories/03-executable-runtime.txt)
libcrypt1	executable-runtime	manual (categories/03-executable-runtime.txt)
libgcc-s1	executable-runtime	manual (categories/03-executable-runtime.txt)
libstdc++6	executable-runtime	manual (categories/03-executable-runtime.txt)
bash	shell-userspace	manual (categories/04-shell-userspace.txt)
bsdutils	shell-userspace	manual (categories/04-shell-userspace.txt)
coreutils	shell-userspace	manual (categories/04-shell-userspace.txt)
cpio	shell-userspace	manual (categories/04-shell-userspace.txt)
dash	shell-userspace	manual (categories/04-shell-userspace.txt)
diffutils	shell-userspace	manual (categories/04-shell-userspace.txt)
findutils	shell-userspace	manual (categories/04-shell-userspace.txt)
grep	shell-userspace	manual (categories/04-shell-userspace.txt)
gzip	shell-userspace	manual (categories/04-shell-userspace.txt)
libpcre2-8-0	shell-userspace	manual (categories/04-shell-userspace.txt)
mawk	shell-userspace	manual (categories/04-shell-userspace.txt)
sed	shell-userspace	manual (categories/04-shell-userspace.txt)
tar	shell-userspace	manual (categories/04-shell-userspace.txt)
liblocale-gettext-perl	perl-runtime	manual (categories/05-perl-runtime.txt)
libtext-charwidth-perl	perl-runtime	manual (categories/05-perl-runtime.txt)
libtext-iconv-perl	perl-runtime	manual (categories/05-perl-runtime.txt)
libtext-wrapi18n-perl	perl-runtime	manual (categories/05-perl-runtime.txt)
perl-base	perl-runtime	manual (categories/05-perl-runtime.txt)
adduser	accounts-auth	manual (categories/06-accounts-auth.txt)
